Study,TrialID,TestID,Excerpt,Object,Modification,TestType
Blue,71,tempo_p_aL_big,Tempo,p,aL,big
Yellow,72,tempo_p_aL_mid,Tempo,p,aL,mid
Red,73,tempo_p_aL_tin,Tempo,p,aL,tin
Blue,81,tempo_p_vL_big,Tempo,p,vL,big
Yellow,82,tempo_p_vL_mid,Tempo,p,vL,mid
Purple,83,tempo_p_vL_tin,Tempo,p,vL,tin
Yellow,79,tempo_p_mulL,Tempo,p,uL,
Purple,77,tempo_p_mixL,Tempo,p,iL,
Blue,74,tempo_p_aR_big,Tempo,p,aR,big
Yellow,75,tempo_p_aR_mid,Tempo,p,aR,mid
Purple,76,tempo_p_aR_tin,Tempo,p,aR,tin
Blue,84,tempo_p_vR_big,Tempo,p,vR,big
Red,85,tempo_p_vR_mid,Tempo,p,vR,mid
Purple,86,tempo_p_vR_tin,Tempo,p,vR,tin
Red,80,tempo_p_mulR,Tempo,p,uR,
Blue,78,tempo_p_mixR,Tempo,p,iR,
Mustard,183,tempo_a_aL_big,Tempo,a,aL,big
Olive,184,tempo_a_aL_mid,Tempo,a,aL,mid
Yellow,53,tempo_a_aL,Tempo,a,aL,tin
Teal,187,tempo_a_vL_big,Tempo,a,vL,big
Grey,188,tempo_a_vL_mid,Tempo,a,vL,mid
Blue,69,tempo_a_vL,Tempo,a,vL,tin
Purple,67,tempo_a_mulL,Tempo,a,uL,
Purple,65,tempo_a_mixL,Tempo,a,iL,
Teal,185,tempo_a_aR_big,Tempo,a,aR,big
Orange,186,tempo_a_aR_mid,Tempo,a,aR,mid
Yellow,54,tempo_a_aR,Tempo,a,aR,tin
Orange,189,tempo_a_vR_big,Tempo,a,vR,big
Mustard,190,tempo_a_vR_mid,Tempo,a,vR,mid
Blue,70,tempo_a_vR,Tempo,a,vR,tin
Red,68,tempo_a_mulR,Tempo,a,uR,
Red,66,tempo_a_mixR,Tempo,a,iR,
Olive,191,tempo_w_aL_big,Tempo,w,aL,big
Teal,192,tempo_w_aL_mid,Tempo,w,aL,mid
Red,87,tempo_w_aL,Tempo,w,aL,tin
Grey,195,tempo_w_vL_big,Tempo,w,vL,big
Orange,196,tempo_w_vL_mid,Tempo,w,vL,mid
Purple,93,tempo_w_vL,Tempo,w,vL,tin
